journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j1,samedi 26 août,Oyonnax Rugby,13e,,23,Stade Toulousain,3e,,23,23 - 23,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8106-oyonnax-toulouse
j1,samedi 26 août,CA Brive,14e,,10,Stade Rochelais,7e,,19,10 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8107-brive-la-rochelle
j1,samedi 26 août,Montpellier Hérault Rugby,1e,Bo,48,SU Agen,11e,,19,48 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8108-montpellier-agen
j1,samedi 26 août,Racing 92,2e,,25,Castres Olympique,6e,Bd,21,25 - 21,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8109-racing-92-castres
j1,samedi 26 août,Stade Français Paris,12e,,16,LOU Rugby,5e,,25,16 - 25,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8110-paris-lyon
j1,samedi 26 août,Union Bordeaux-Bègles,10e,,32,ASM Clermont,9e,,25,32 - 25,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8111-bordeaux-begles-clermont
j1,dimanche 27 août,RC Toulon,4e,,41,Section Paloise,8e,,14,41 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8112-toulon-pau
j2,samedi 02 septembre,SU Agen,11e,,23,Racing 92,2e,Bd,19,23 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8113-agen-racing-92
j2,samedi 02 septembre,Stade Français Paris,12e,,35,Stade Rochelais,7e,,24,35 - 24,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8114-paris-la-rochelle
j2,samedi 02 septembre,Castres Olympique,6e,Bo,33,Union Bordeaux-Bègles,10e,,19,33 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8115-castres-bordeaux-begles
j2,samedi 02 septembre,LOU Rugby,5e,,29,CA Brive,14e,,14,29 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8116-lyon-brive
j2,samedi 02 septembre,Montpellier Hérault Rugby,1e,Bo,37,Oyonnax Rugby,13e,,6,37 - 6,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8117-montpellier-oyonnax
j2,samedi 02 septembre,Stade Toulousain,3e,,23,Section Paloise,8e,Bd,19,23 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8118-toulouse-pau
j2,dimanche 03 septembre,ASM Clermont,9e,,21,RC Toulon,4e,Bd,16,21 - 16,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8119-clermont-toulon
j3,samedi 09 septembre,Stade Rochelais,7e,Bo,51,ASM Clermont,9e,,20,51 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8120-la-rochelle-clermont
j3,samedi 09 septembre,CA Brive,14e,,6,Racing 92,2e,Bo,25,6 - 25,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8121-brive-racing-92
j3,samedi 09 septembre,Oyonnax Rugby,13e,,12,SU Agen,11e,Bd,10,12 - 10,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8122-oyonnax-agen
j3,samedi 09 septembre,Union Bordeaux-Bègles,10e,,30,Stade Français Paris,12e,,10,30 - 10,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8123-bordeaux-begles-paris
j3,samedi 09 septembre,Castres Olympique,6e,Bd,17,Montpellier Hérault Rugby,1e,,22,17 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8124-castres-montpellier
j3,dimanche 10 septembre,Section Paloise,8e,,30,LOU Rugby,5e,,14,30 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8125-pau-lyon
j3,dimanche 10 septembre,RC Toulon,4e,,20,Stade Toulousain,3e,Bd,16,20 - 16,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8126-toulon-toulouse
j4,samedi 16 septembre,Stade Toulousain,3e,Bo,53,Stade Français Paris,12e,,17,53 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8127-toulouse-paris
j4,samedi 16 septembre,LOU Rugby,5e,Bo,49,Union Bordeaux-Bègles,10e,,14,49 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8128-lyon-bordeaux-begles
j4,samedi 16 septembre,Section Paloise,8e,,28,Castres Olympique,6e,,13,28 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8129-pau-castres
j4,samedi 16 septembre,SU Agen,11e,Bd,15,Stade Rochelais,7e,,20,15 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8130-agen-la-rochelle
j4,samedi 16 septembre,ASM Clermont,9e,Bo,62,CA Brive,14e,,6,62 - 6,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8131-clermont-brive
j4,dimanche 17 septembre,Racing 92,2e,,25,Oyonnax Rugby,13e,,13,25 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8132-racing-92-oyonnax
j4,dimanche 17 septembre,Montpellier Hérault Rugby,1e,Bo,43,RC Toulon,4e,,20,43 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8133-montpellier-toulon
j5,samedi 23 septembre,ASM Clermont,9e,,23,Racing 92,2e,Bd,21,23 - 21,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8134-clermont-racing-92
j5,samedi 23 septembre,Stade Rochelais,7e,Bo,57,Oyonnax Rugby,13e,,12,57 - 12,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8135-la-rochelle-oyonnax
j5,samedi 23 septembre,SU Agen,11e,,14,Section Paloise,8e,,20,14 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8136-agen-pau
j5,samedi 23 septembre,Union Bordeaux-Bègles,10e,Bo,47,Montpellier Hérault Rugby,1e,,17,47 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8137-bordeaux-begles-montpellier
j5,samedi 23 septembre,CA Brive,14e,Bd,19,Stade Toulousain,3e,,22,19 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8138-brive-toulouse
j5,dimanche 24 septembre,LOU Rugby,5e,Bo,31,Castres Olympique,6e,,12,31 - 12,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8139-lyon-castres
j5,dimanche 24 septembre,Stade Français Paris,12e,Bo,15,RC Toulon,4e,,19,15 - 19,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8140-paris-toulon
j6,samedi 30 septembre,RC Toulon,4e,,26,Stade Rochelais,7e,,20,26 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8141-toulon-la-rochelle
