id,journee,date_formatee,equipe,role,adversaire,score_equipe,score_adversaire,classement_avant_match,bonus,resultat,essais_accordes,possession_balle,occupation,possession_prop_camp,possession_camp_adv,possession_22m_adv,melees_obtenues,melees_perdues,melees_gagnees,melees_refaites,touches_obtenues,touches_propre_lancer,touches_lancer_adv,en_avant_commis,penalites_reussies,penalites_concedees,plaquages_reussis,plaquages_offensifs,plaquages_manques,ballons_pied,ballons_passes,carton_jaune,carton_orange,carton_rouge
7a85b374,j1,20/08/2016,LOU Rugby,Domicile,CA Brive,15,15,10e,,Nul,0,50 %,45 %,63 %,54 %,44 %,8,2,5,1,14,11,0,5,5,12,85,3,5,25,107,1,0,0
7a85b374,j1,20/08/2016,CA Brive,Extérieur,LOU Rugby,15,15,8e,,Nul,0,50 %,55 %,37 %,46 %,56 %,4,0,4,0,18,13,2,6,5,11,104,0,17,31,79,2,0,0
f15f42a5,j1,20/08/2016,Castres Olympique,Domicile,Section Paloise,28,11,5e,,Victoire,3,50 %,56 %,36 %,46 %,54 %,14,1,11,2,17,15,2,6,3,8,70,3,15,16,111,0,0,1
f15f42a5,j1,20/08/2016,Section Paloise,Extérieur,Castres Olympique,11,28,9e,,Défaite,1,50 %,44 %,64 %,54 %,46 %,6,1,5,0,14,9,0,7,2,14,120,5,20,15,82,2,0,0
2841e433,j1,20/08/2016,Union Bordeaux-Bègles,Domicile,Racing 92,15,9,11e,,Victoire,0,50 %,51 %,59 %,48 %,50 %,6,1,4,1,13,10,1,7,5,13,98,5,9,19,140,0,0,1
2841e433,j1,20/08/2016,Racing 92,Extérieur,Union Bordeaux-Bègles,9,15,6e,,Défaite,0,50 %,49 %,41 %,52 %,50 %,9,2,6,1,21,18,1,8,3,13,154,3,15,22,103,0,0,0
ce0f9aba,j1,20/08/2016,Stade Français Paris,Domicile,FC Grenoble Rugby,54,20,7e,Bo,Victoire,5,50 %,67 %,75 %,33 %,67 %,10,1,9,0,10,8,0,6,7,9,97,8,7,22,158,1,0,0
ce0f9aba,j1,20/08/2016,FC Grenoble Rugby,Extérieur,Stade Français Paris,20,54,13e,,Défaite,2,50 %,33 %,25 %,67 %,33 %,8,3,4,1,13,9,0,9,2,15,185,0,20,16,104,2,0,0
49b1fc09,j1,20/08/2016,Stade Rochelais,Domicile,ASM Clermont,30,30,1e,,Nul,2,50 %,60 %,80 %,39 %,61 %,13,3,6,4,16,9,1,5,3,7,52,1,15,18,97,0,0,0
49b1fc09,j1,20/08/2016,ASM Clermont,Extérieur,Stade Rochelais,30,30,2e,,Nul,3,50 %,40 %,20 %,61 %,39 %,2,2,0,0,12,9,1,6,3,16,153,4,36,22,58,0,0,0
2e6e2ee7,j1,20/08/2016,Stade Toulousain,Domicile,Montpellier Hérault Rugby,20,12,12e,,Victoire,2,50 %,42 %,38 %,58 %,42 %,8,1,6,1,14,12,1,6,2,11,127,4,9,21,131,1,0,0
2e6e2ee7,j1,20/08/2016,Montpellier Hérault Rugby,Extérieur,Stade Toulousain,12,20,3e,,Défaite,0,50 %,58 %,62 %,42 %,58 %,7,0,6,1,14,10,0,10,4,10,151,4,18,15,109,0,0,0
44e63eb6,j1,21/08/2016,Aviron Bayonnais,Domicile,RC Toulon,28,23,14e,,Victoire,3,50 %,50 %,41 %,51 %,50 %,4,1,3,0,14,12,1,5,3,8,117,4,14,19,107,0,0,0
44e63eb6,j1,21/08/2016,RC Toulon,Extérieur,Aviron Bayonnais,23,28,4e,Bd,Défaite,2,50 %,50 %,59 %,49 %,50 %,8,0,7,1,12,7,0,6,3,13,114,6,15,17,128,1,0,0
4d24973f,j2,27/08/2016,Section Paloise,Domicile,RC Toulon,18,22,9e,Bd,Défaite,2,50 %,63 %,70 %,37 %,63 %,11,3,4,4,11,8,0,13,2,11,64,4,10,19,153,1,0,0
4d24973f,j2,27/08/2016,RC Toulon,Extérieur,Section Paloise,22,18,4e,,Victoire,1,50 %,37 %,30 %,63 %,37 %,14,2,8,4,11,10,3,10,5,13,150,8,22,18,94,2,0,0
91f7df50,j2,27/08/2016,Aviron Bayonnais,Domicile,Castres Olympique,12,12,14e,,Nul,0,50 %,46 %,31 %,54 %,46 %,10,1,8,1,15,12,0,9,4,9,119,1,18,12,125,1,0,0
91f7df50,j2,27/08/2016,Castres Olympique,Extérieur,Aviron Bayonnais,12,12,5e,,Nul,0,50 %,54 %,69 %,46 %,54 %,8,2,5,1,9,8,2,11,4,13,118,4,18,15,84,2,0,0
f4f840f0,j2,27/08/2016,CA Brive,Domicile,Stade Français Paris,28,20,8e,,Victoire,1,50 %,35 %,38 %,67 %,40 %,7,4,2,1,13,12,2,7,6,18,150,1,24,20,58,4,0,0
f4f840f0,j2,27/08/2016,Stade Français Paris,Extérieur,CA Brive,20,28,7e,,Défaite,2,50 %,65 %,62 %,33 %,60 %,7,3,4,0,16,13,0,7,2,13,79,4,8,12,155,1,0,0
cf5e407c,j2,27/08/2016,FC Grenoble Rugby,Domicile,Stade Rochelais,19,22,13e,Bd,Défaite,1,50 %,57 %,83 %,44 %,57 %,13,1,7,5,13,12,1,9,4,6,110,2,8,15,118,0,0,0
cf5e407c,j2,27/08/2016,Stade Rochelais,Extérieur,FC Grenoble Rugby,22,19,1e,,Victoire,3,50 %,43 %,17 %,56 %,43 %,8,3,4,1,12,8,0,10,1,10,123,11,18,16,91,0,0,0
c7d10e6b,j2,27/08/2016,Racing 92,Domicile,LOU Rugby,29,16,6e,Bo,Victoire,4,50 %,60 %,68 %,39 %,60 %,6,1,4,1,15,11,0,13,1,14,122,5,11,11,178,1,0,0
c7d10e6b,j2,27/08/2016,LOU Rugby,Extérieur,Racing 92,16,29,10e,,Défaite,1,50 %,40 %,32 %,61 %,40 %,9,3,5,1,10,9,1,7,3,10,159,2,44,12,127,1,0,0
9cfb75a8,j2,27/08/2016,Stade Toulousain,Domicile,Union Bordeaux-Bègles,22,17,12e,,Victoire,1,50 %,60 %,59 %,41 %,57 %,9,2,6,1,11,9,0,11,5,10,65,8,2,20,166,0,0,0
9cfb75a8,j2,27/08/2016,Union Bordeaux-Bègles,Extérieur,Stade Toulousain,17,22,11e,Bd,Défaite,1,50 %,40 %,41 %,59 %,43 %,6,2,4,0,13,6,0,9,4,12,176,1,13,12,75,1,0,0
a49fe501,j2,28/08/2016,Montpellier Hérault Rugby,Domicile,ASM Clermont,22,26,3e,Bd,Défaite,3,50 %,58 %,67 %,40 %,61 %,9,0,6,3,18,13,0,15,1,5,79,6,15,21,154,0,0,0
a49fe501,j2,28/08/2016,ASM Clermont,Extérieur,Montpellier Hérault Rugby,26,22,2e,,Victoire,2,50 %,42 %,33 %,60 %,39 %,13,0,10,3,12,9,0,8,4,7,147,11,25,29,87,0,0,0
c416ecbe,j3,03/09/2016,Stade Français Paris,Domicile,ASM Clermont,30,30,7e,,Nul,4,50 %,42 %,11 %,59 %,41 %,10,3,4,3,8,5,0,8,2,13,124,6,23,23,116,0,0,0
c416ecbe,j3,03/09/2016,ASM Clermont,Extérieur,Stade Français Paris,30,30,2e,,Nul,2,50 %,58 %,89 %,41 %,59 %,8,1,4,3,12,10,1,10,6,5,126,4,20,20,135,0,0,0
84885f79,j3,03/09/2016,LOU Rugby,Domicile,FC Grenoble Rugby,32,13,10e,Bo,Victoire,4,50 %,56 %,65 %,49 %,58 %,8,1,7,0,12,11,1,6,2,9,95,5,6,14,117,0,0,0
84885f79,j3,03/09/2016,FC Grenoble Rugby,Extérieur,LOU Rugby,13,32,13e,,Défaite,1,50 %,44 %,35 %,51 %,42 %,9,5,2,2,10,6,1,3,2,18,133,6,13,10,127,2,0,0
08fbd18a,j3,03/09/2016,Castres Olympique,Domicile,Stade Rochelais,18,26,5e,,Défaite,2,50 %,59 %,60 %,40 %,57 %,8,1,6,1,10,7,0,5,2,10,150,2,24,16,137,0,0,0
08fbd18a,j3,03/09/2016,Stade Rochelais,Extérieur,Castres Olympique,26,18,1e,,Victoire,2,50 %,41 %,40 %,60 %,43 %,5,0,4,1,7,7,0,7,4,11,149,12,23,11,124,1,0,0
a5593a12,j3,03/09/2016,Section Paloise,Domicile,Aviron Bayonnais,25,9,9e,Bo,Victoire,3,50 %,59 %,85 %,39 %,59 %,13,2,10,1,16,14,0,12,2,12,102,2,19,19,110,1,0,0
a5593a12,j3,03/09/2016,Aviron Bayonnais,Extérieur,Section Paloise,9,25,14e,,Défaite,0,50 %,41 %,15 %,61 %,41 %,6,2,4,0,15,11,0,6,2,13,90,2,13,15,120,0,0,1
df7947fb,j3,03/09/2016,RC Toulon,Domicile,CA Brive,21,25,4e,Bd,Défaite,0,50 %,57 %,60 %,43 %,57 %,8,2,4,2,12,8,0,16,7,16,109,31,12,14,116,2,0,0
df7947fb,j3,03/09/2016,CA Brive,Extérieur,RC Toulon,25,21,8e,,Victoire,0,50 %,43 %,40 %,57 %,43 %,15,4,8,3,15,9,1,10,6,18,83,13,16,19,95,2,0,0
27c5b43f,j3,04/09/2016,Union Bordeaux-Bègles,Domicile,Montpellier Hérault Rugby,15,32,11e,,Défaite,0,50 %,58 %,46 %,42 %,57 %,7,2,4,1,12,9,1,12,4,9,109,3,20,16,158,0,0,0
27c5b43f,j3,04/09/2016,Montpellier Hérault Rugby,Extérieur,Union Bordeaux-Bègles,32,15,3e,,Victoire,2,50 %,42 %,54 %,58 %,43 %,10,1,6,3,11,7,1,6,6,14,143,15,15,21,95,1,0,0
9735fbf1,j3,04/09/2016,Racing 92,Domicile,Stade Toulousain,28,14,6e,,Victoire,2,50 %,46 %,50 %,53 %,47 %,12,4,5,3,9,5,0,8,3,16,131,0,18,14,154,0,0,0
9735fbf1,j3,04/09/2016,Stade Toulousain,Extérieur,Racing 92,14,28,12e,,Défaite,1,50 %,54 %,50 %,47 %,53 %,9,3,6,0,12,8,1,11,3,9,132,5,15,15,107,0,0,0
9d9ec106,j4,10/09/2016,Stade Français Paris,Domicile,Castres Olympique,29,25,7e,,Victoire,2,50 %,50 %,61 %,51 %,50 %,8,2,6,0,7,5,0,3,5,10,126,5,22,24,115,1,0,1
9d9ec106,j4,10/09/2016,Castres Olympique,Extérieur,Stade Français Paris,25,29,5e,Bd,Défaite,1,50 %,50 %,39 %,49 %,50 %,7,2,3,2,7,5,2,11,6,12,158,7,10,18,120,1,0,0
78ff6dd3,j4,10/09/2016,Montpellier Hérault Rugby,Domicile,Section Paloise,41,13,3e,Bo,Victoire,3,50 %,45 %,48 %,56 %,46 %,14,0,12,2,10,9,4,6,2,10,139,9,16,16,74,1,0,0
78ff6dd3,j4,10/09/2016,Section Paloise,Extérieur,Montpellier Hérault Rugby,13,41,9e,,Défaite,2,50 %,55 %,52 %,44 %,54 %,11,4,4,3,17,9,0,10,1,15,83,3,9,7,122,2,0,0
