equipe,saison,matchs_joues,victoires,defaites,nuls,taux_victoire_pct,bonus_offensif,bonus_defensif,moy_score_equipe,moy_score_adversaire,moy_essais_accordes,moy_melees_obtenues,moy_melees_perdues,moy_melees_gagnees,moy_melees_refaites,moy_touches_obtenues,moy_touches_propre_lancer,moy_touches_lancer_adv,moy_en_avant_commis,moy_penalites_reussies,moy_penalites_concedees,moy_plaquages_reussis,moy_plaquages_offensifs,moy_plaquages_manques,moy_ballons_pied,moy_ballons_passes,moy_carton_jaune,moy_carton_orange,moy_carton_rouge,moy_possession_balle,moy_occupation,moy_possession_prop_camp,moy_possession_camp_adv,moy_possession_22m_adv
ASM Clermont,2016-2017,28,17,8,3,60.7,8,4,30.68,21.75,3.11,7.89,0.89,5.07,1.93,12.7,9.33,1.15,8.67,2.96,9.81,146.26,11.37,23.37,18.22,127.37,0.63,0.0,0.11,50.0,50.0,50.3,49.8,50.3
Aviron Bayonnais,2016-2017,26,6,17,3,23.1,0,0,17.92,34.81,1.5,8.27,1.38,5.81,1.08,13.96,10.04,1.0,7.19,2.42,11.08,142.88,6.65,21.62,16.69,122.77,0.73,0.0,0.12,50.0,45.7,42.3,54.5,46.4
CA Brive,2016-2017,26,13,12,1,50.0,0,4,22.19,24.38,1.52,10.04,1.6,5.68,2.76,11.92,8.48,1.28,7.28,3.8,11.56,123.68,8.12,21.36,19.52,106.16,1.12,0.0,0.08,50.0,50.1,54.5,50.2,50.2
Castres Olympique,2016-2017,27,13,13,1,48.1,5,4,25.52,19.81,2.38,8.77,1.12,5.62,2.04,10.65,7.54,1.19,7.69,2.92,11.31,140.27,8.5,20.0,18.85,117.85,0.81,0.0,0.08,50.0,53.6,54.4,46.0,53.3
FC Grenoble Rugby,2016-2017,26,7,18,1,26.9,2,6,23.5,32.77,2.23,7.69,1.88,3.96,1.85,13.35,9.46,0.62,7.62,2.73,11.35,147.23,6.96,20.5,15.88,138.35,1.04,0.0,0.08,50.0,49.5,46.5,49.8,49.3
LOU Rugby,2016-2017,26,11,13,2,42.3,3,4,22.04,24.31,1.96,8.5,1.38,5.27,1.85,13.35,11.0,0.96,7.5,2.69,11.19,134.85,8.54,19.73,17.65,118.96,0.65,0.0,0.04,50.0,50.2,53.0,49.8,50.4
Montpellier Hérault Rugby,2016-2017,27,16,11,0,59.3,7,5,28.26,21.7,2.85,8.93,1.07,5.41,2.44,11.89,8.7,0.74,7.07,2.7,11.3,146.96,9.15,17.22,19.67,107.59,0.89,0.0,0.04,50.0,49.7,50.9,49.9,49.7
RC Toulon,2016-2017,29,16,11,2,55.2,5,4,25.31,19.66,2.21,8.34,0.93,5.38,2.03,13.07,9.97,1.07,8.62,2.83,10.52,134.28,11.55,16.86,19.38,136.55,0.59,0.0,0.0,50.0,50.4,48.8,49.8,50.1
Racing 92,2016-2017,28,15,12,1,53.6,3,1,22.82,23.79,2.39,6.89,0.71,4.89,1.29,12.64,8.79,0.89,8.07,2.21,11.68,144.07,7.21,18.46,17.57,133.11,0.79,0.0,0.14,50.0,49.5,48.1,50.6,49.4
Section Paloise,2016-2017,26,12,13,1,46.2,2,5,23.23,26.96,2.19,7.65,1.38,4.62,1.65,12.15,8.58,0.38,7.35,2.88,10.69,126.27,5.31,18.46,14.5,146.46,0.73,0.0,0.08,50.0,49.9,51.7,50.0,50.2
Stade Français Paris,2016-2017,26,12,13,1,46.2,5,4,24.73,24.54,2.46,9.54,1.85,5.54,2.15,11.69,8.31,1.04,6.85,2.85,12.31,152.96,11.81,17.38,20.35,125.46,1.04,0.0,0.15,50.0,50.2,49.0,49.7,50.2
Stade Rochelais,2016-2017,27,17,7,3,63.0,6,5,26.74,19.11,2.37,7.15,1.0,4.56,1.59,13.81,10.33,1.19,6.85,3.26,9.11,127.85,9.67,16.74,16.85,135.41,0.67,0.0,0.04,50.0,51.4,50.8,48.9,51.0
Stade Toulousain,2016-2017,26,11,15,0,42.3,3,6,20.65,21.58,1.96,9.92,1.15,6.27,2.5,13.27,9.35,0.85,7.96,2.5,10.73,118.19,7.0,14.08,17.5,148.46,0.65,0.0,0.04,50.0,52.1,52.4,48.5,50.8
Union Bordeaux-Bègles,2016-2017,26,11,14,1,42.3,2,6,21.88,22.35,1.88,6.48,0.96,4.52,1.0,11.88,8.32,0.76,7.84,2.92,10.96,157.04,8.16,18.16,16.52,130.68,0.76,0.0,0.08,50.0,47.8,47.6,52.5,48.6
ASM Clermont,2017-2018,26,11,14,1,42.3,4,4,24.19,26.42,2.5,10.35,0.88,6.69,2.77,12.73,9.04,0.81,9.15,2.27,9.08,157.88,14.85,22.88,15.77,147.77,0.92,0.0,0.08,50.0,48.9,47.9,51.3,49.5
CA Brive,2017-2018,26,7,18,1,26.9,1,5,18.65,27.92,1.81,9.31,1.08,5.73,2.5,12.15,8.62,0.65,7.62,2.15,10.42,147.46,11.15,23.73,16.77,119.54,0.77,0.0,0.08,50.0,47.1,48.2,53.4,47.2
Castres Olympique,2017-2018,29,18,11,0,62.1,4,5,24.45,22.83,2.45,9.03,0.72,5.72,2.59,11.45,8.41,1.17,9.31,2.41,10.14,165.28,13.76,23.86,19.97,132.59,0.83,0.0,0.07,50.0,55.4,56.2,43.7,54.7
FC Grenoble Rugby,2017-2018,1,1,0,0,100.0,0,0,47.0,22.0,7.0,11.0,0.0,8.0,3.0,9.0,6.0,2.0,6.0,0.0,10.0,204.0,29.0,26.0,24.0,149.0,0.0,0.0,0.0,50.0,46.0,40.0,54.0,48.0
LOU Rugby,2017-2018,28,15,12,1,53.6,7,3,25.79,21.43,2.79,8.54,0.71,5.57,2.25,13.5,10.32,1.04,8.14,2.21,9.43,173.75,16.71,23.86,20.25,132.68,0.68,0.0,0.04,50.0,50.2,49.0,50.2,50.7
Montpellier Hérault Rugby,2017-2018,28,18,10,0,64.3,12,1,28.75,21.5,3.5,9.54,0.93,6.32,2.29,11.71,8.71,0.93,7.82,1.39,9.61,162.57,16.54,20.32,23.32,121.57,0.5,0.0,0.07,50.0,52.2,54.5,47.8,52.1
